Rep,Row,Pos,Fert,PlotIndex,PlotID,Plant,Genotype,SeedTreatment,R_Year,ERA,BG_activity.g,BX_activity.g,CB_activity.g,LAP_activity.g,NAG_activity.g,TimePoint,Stage,kgdw_ha,FracN.leco,FracC.leco,kgN_ha,RGR,AGR,Nprod,NupR,d15N,X15N_AtPercent,FracN,FracN_fromSoil,FracN_fromFert,kgFertN_ha,kgSoilN_ha
3,4,d,0,167,3-4d_0,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T3,R3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,4,d,170,168,3-4d_170,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T3,R3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,4,b,170,220,4-4b_170,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T3,R3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,4,b,85,221,4-4b_85,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T3,R3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,4,b,0,222,4-4b_0,1936U,1936,Untreated,1936,1,NA,NA,NA,NA,NA,T3,R3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,b,170,16,1-2b_170,1939,1939,Treated,1939,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,b,85,17,1-2b_85,1939,1939,Treated,1939,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,b,0,18,1-2b_0,1939,1939,Treated,1939,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,3,d,85,94,2-3d_85,1939,1939,Treated,1939,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,3,d,0,95,2-3d_0,1939,1939,Treated,1939,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,3,d,170,96,2-3d_170,1939,1939,Treated,1939,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,5,c,0,175,3-5c_0,1939,1939,Treated,1939,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,5,c,85,176,3-5c_85,1939,1939,Treated,1939,1,NA,NA,NA,NA,NA,T0,Planting,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
